id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6941379,Historic Haight-Ashbury Victorian,3190405,Alex,?,Haight Ashbury,37.77098638,-122.4505389,Entire home/apt,350,2,5,6/17/2016,0.4,1,356
4030029,"Clean, well-lit private room",10815497,Eric,?,Haight Ashbury,37.76350325,-122.4477675,Private room,150,1,1,9/15/2015,0.1,1,364
11773102,4 BR/3 BA Victorian in Top Location,190375,Leslie,?,Haight Ashbury,37.77215611,-122.437715,Entire home/apt,425,4,0,,,1,17
3563032,Sunny Victorian on Historic Haight,17939820,Katherine,?,Haight Ashbury,37.77092231,-122.4374223,Private room,145,1,30,4/29/2016,1.27,1,0
10549688,"Private Bathroom, Garden Oasis",2775791,Leigh,?,Haight Ashbury,37.77221366,-122.4436791,Private room,175,3,1,5/16/2016,0.63,1,0
3809432,Foo,8141082,Varun,?,Haight Ashbury,37.77548059,-122.4425208,Entire home/apt,432,1,0,,,1,365
12005182,Blue House Grotto,64201770,Sherri,?,Haight Ashbury,37.77191661,-122.4435415,Private room,125,1,1,4/1/2016,0.32,1,0
3122882,Friendly Inviting Room in NOPA,10354038,Kara,?,Haight Ashbury,37.77566961,-122.4460764,Private room,140,1,79,6/16/2016,3.08,2,274
7918,A Friendly Hotel,21994,Aaron,?,Haight Ashbury,37.7666896,-122.4525046,Private room,65,7,15,9/23/2015,0.18,7,365
12973256,Practical and Easy Access to Everything,71393169,Kal,?,Haight Ashbury,37.77246822,-122.4396116,Entire home/apt,180,3,3,5/25/2016,1.7,1,246
8155106,Ashbury Heights Elegant Flat,20856424,James,?,Haight Ashbury,37.76731365,-122.4457972,Private room,175,1,14,6/26/2016,1.4,1,358
9186305,Charming Golden Gate Park Home,5317770,Clifton,?,Haight Ashbury,37.7697027,-122.4523414,Private room,80,3,19,6/20/2016,2.85,1,0
1967211,Cozy 1 Bed Apt. in Haight-Ashbury,10161045,Kurt,?,Haight Ashbury,37.76936395,-122.4515657,Entire home/apt,115,5,7,6/28/2016,1.11,1,1
9150171,Room in Historic SF,167143,Jessie,?,Haight Ashbury,37.76930336,-122.4513975,Private room,99,3,0,,,2,0
10236578,2br (3 BEDS) - On Park - By Haight,15490780,Rachel,?,Haight Ashbury,37.77351657,-122.452442,Entire home/apt,650,1,0,,,1,0
9772783,"Classic, Hip NOPA 3 Bedroom",1099329,Courtney,?,Haight Ashbury,37.77463912,-122.4457714,Entire home/apt,350,2,19,5/23/2016,2.97,1,151
3194383,Heart of Cole Valley/Ashbury Height,3186516,Kristin,?,Haight Ashbury,37.76356536,-122.4511952,Private room,90,2,11,10/29/2015,0.47,1,0
8449727,Master bedroom in Casa Magnifico,15399047,Peter,?,Haight Ashbury,37.76118737,-122.4513345,Private room,200,1,0,,,7,365
9053806,Luxury Brand New Bedroom & Parking!,26086558,Giselle,?,Haight Ashbury,37.76906771,-122.4499533,Private room,265,5,0,,,2,89
3052906,Private room in Haight Ashubry,1864790,Igor,?,Haight Ashbury,37.76747606,-122.4476771,Private room,100,1,10,8/24/2014,0.41,1,0
4729656,1BR in NOPA near Haight & Alamo Sq,4168170,Oscar,?,Haight Ashbury,37.7743342,-122.4416459,Entire home/apt,150,2,0,,,1,0
7302136,"Spacious Apt, Sunsets, Sweet Cat",38249439,Janet,?,Haight Ashbury,37.76515705,-122.4465764,Entire home/apt,99,10,2,5/31/2016,0.19,1,11
209514,Haight Ashbury Experience Room 2,1032643,Josh,?,Haight Ashbury,37.77118402,-122.4496256,Private room,102,2,201,6/30/2016,3.43,6,325
3758015,Furnished room in condo,13236139,Mike & Shirley,?,Haight Ashbury,37.77288789,-122.4384766,Private room,150,2,22,6/28/2016,0.95,2,80
10907125,"Spacious, modern, Victorian apt.",11048003,Nesle,?,Haight Ashbury,37.77070667,-122.4509833,Entire home/apt,500,1,1,3/8/2016,0.26,1,0
3629365,"Baby ready, spacious Victorian",691475,Emily,?,Haight Ashbury,37.76610564,-122.4456125,Entire home/apt,210,2,2,6/25/2016,1.22,1,117
212783,Haight Ashbury Experience Room 1,1032643,Josh,?,Haight Ashbury,37.77107886,-122.4494184,Private room,108,2,197,6/24/2016,3.37,6,314
7858587,Haight Ashbury Experience Room L,1032643,Josh,?,Haight Ashbury,37.77042567,-122.4482497,Private room,96,2,30,6/29/2016,2.92,6,339
358672,Top Shelf Living @Panhandle Park,16866,Nicholas,?,Haight Ashbury,37.77498506,-122.4487524,Private room,500,5,0,,,2,0
8371368,Studio in front Golden Gate Park,6109538,Jameson,?,Haight Ashbury,37.77284986,-122.4471225,Private room,100,1,0,,,1,0
7806162,Private room in the Haight/Ashbury,37688135,Steve,?,Haight Ashbury,37.77200017,-122.4423572,Private room,120,3,27,6/7/2016,2.54,1,4
1206261,In the Heart of Haight/Ashbury # 6,4677165,Ashirvadam,?,Haight Ashbury,37.77106949,-122.4487436,Private room,99,1,80,6/20/2016,2.17,6,362
10563581,Superbowl: Private Master Suite,10829290,Kimber,?,Haight Ashbury,37.77394374,-122.4481871,Private room,85,1,0,,,1,0
1650429,Private Room in Beautiful NOPA Home,1970975,Stevie And Gabby,?,Haight Ashbury,37.7753937,-122.442302,Private room,125,2,1,8/30/2015,0.1,1,0
10990759,"All Updated room close to GG Park ""O""",57017267,Dimitry,?,Haight Ashbury,37.77534977,-122.4454263,Private room,79,1,1,6/13/2016,1,4,338
13205424,Panhandle View,6573109,Bin,?,Haight Ashbury,37.77191188,-122.4491922,Private room,350,3,0,,,1,0
13187799,NoPA - Cozy Bedroom in Home | TV | Parking | Yard,70400368,Leslie,?,Haight Ashbury,37.77477699,-122.4391855,Private room,99,1,2,6/24/2016,2,4,67
10839763,Bedroom in Beautiful Victorian,21229755,Matt,?,Haight Ashbury,37.77094602,-122.4394324,Private room,65,4,8,6/16/2016,2.07,1,0
4695477,Private Garden Studio near UCSF,8812791,Maria,?,Haight Ashbury,37.76611756,-122.4517365,Private room,139,2,55,6/26/2016,3.08,2,50
9598259,Spacious room in Victorian Mansion,3000588,Zain,?,Haight Ashbury,37.77299824,-122.4489683,Private room,78,1,0,,,1,0
960593,Haight Mid-town SF. 1 br 3rd floor.,285002,Chuck,?,Haight Ashbury,37.77149405,-122.4373173,Private room,90,1,314,6/30/2016,7.85,1,267
8171889,Amazing Classic 1800's Mansion,4152894,Gena&Art&Jon,?,Haight Ashbury,37.77036714,-122.4413513,Private room,200,3,6,6/15/2016,0.63,1,10
1737155,Lovely apartment in San Francisco,9148435,Elizabeth,?,Haight Ashbury,37.76942033,-122.4376237,Entire home/apt,350,30,31,4/12/2015,0.93,1,274
12779976,in Haight Ashbury,61734889,Sanne,?,Haight Ashbury,37.76873611,-122.4443643,Entire home/apt,190,3,3,6/15/2016,3,1,0
2081420,Spacious Victorian of Panhandle,10607931,Vita,?,Haight Ashbury,37.76982005,-122.4446798,Entire home/apt,185,3,27,6/10/2016,0.93,1,9
754117,Amazing flat in Haight Ashbury,3967658,Ryan & Tricia,?,Haight Ashbury,37.77042985,-122.447768,Entire home/apt,285,3,77,5/25/2016,1.77,1,260
3133266,Luxe Modern Cole Valley Victorian ,837274,Jay And Tina,?,Haight Ashbury,37.76875414,-122.4489017,Entire home/apt,600,5,21,6/18/2016,0.85,2,312
6374167,Private Quiet Room,33217272,Joanna,?,Haight Ashbury,37.76637208,-122.4467014,Private room,72,7,2,1/22/2016,0.26,1,61
2736358,Garden Retreat steps from Haight St,8638224,Sara,?,Haight Ashbury,37.76746465,-122.4448272,Entire home/apt,185,2,126,6/29/2016,4.83,1,204
12023104,Haight Ashbury 2BR 1BA Victorian,44296618,Andrea,?,Haight Ashbury,37.77068992,-122.4509612,Private room,100,2,23,6/26/2016,7.11,1,8
10437411,Haight Ashbury Painted Lady Studio,4413556,Chip & Angela,?,Haight Ashbury,37.77025358,-122.447384,Entire home/apt,195,2,10,6/17/2016,4.69,1,79
1344306,"Beautiful room, fantastic location!",1806128,Ryan,?,Haight Ashbury,37.76820673,-122.4514978,Private room,89,2,30,3/13/2015,1.02,1,0
10863455,Luxury Spacious Victorian Flat,1930402,Meng,?,Haight Ashbury,37.7705796,-122.4456823,Entire home/apt,300,1,3,6/26/2016,1.55,1,66
8192881,Modern Cole Valley studio,6387932,Meryl,?,Haight Ashbury,37.76922397,-122.4469821,Private room,150,2,36,6/24/2016,3.78,1,140
5538737,Cozy bedroom in sunny victorian.,16548239,Mike,?,Haight Ashbury,37.76298136,-122.4491462,Private room,100,1,1,10/2/2015,0.11,3,0
4851030,Huge room in Haight - $ negotiable,24959426,Hansae,?,Haight Ashbury,37.77030929,-122.4460832,Private room,150,1,0,,,1,0
7717877,Sunny Room near Outside Lands Fest!,9909736,Joanna,?,Haight Ashbury,37.77224745,-122.4499968,Private room,130,1,0,,,1,0
3261455,Bright SF 1BR with Classic Detail,721036,Ali,?,Haight Ashbury,37.77584491,-122.4399201,Entire home/apt,150,4,10,6/5/2016,1.65,1,9
213532,Haight Ashbury Experience Room 4,1032643,Josh,?,Haight Ashbury,37.77084767,-122.4481135,Private room,85,2,215,6/29/2016,3.68,6,280
7619767,San Francisco -  Quaint Cole Valley,39964691,Arthur And Victoria,?,Haight Ashbury,37.76316026,-122.4507635,Entire home/apt,490,3,5,3/28/2016,0.52,1,326
10126600,Huge Haight-Ashbury Master Bedroom!,975780,Adam,?,Haight Ashbury,37.77011921,-122.4446386,Private room,96,5,0,,,3,0
607500,Experience San Francisco in Style!,1805856,Adam N Alex,?,Haight Ashbury,37.76668081,-122.4509517,Entire home/apt,825,2,27,2/21/2016,0.59,1,365
10831199,Cozy Garden Studio with Backyard,30308803,Meagan,?,Haight Ashbury,37.76254782,-122.4498288,Entire home/apt,300,1,0,,,1,0
1851886,Bright & airy condo in Cole Valley,2716431,Abby,?,Haight Ashbury,37.76634639,-122.4517234,Entire home/apt,225,15,8,6/25/2016,0.26,1,0
5685743,Edwardian 3BR/3BA Apartment,13697375,Peter,?,Haight Ashbury,37.7659646,-122.4483103,Entire home/apt,465,2,3,9/15/2015,0.28,1,0
4244943,"Newly renovated, bright & cheerful",15399047,Peter,?,Haight Ashbury,37.7638126,-122.4476189,Entire home/apt,350,2,2,8/3/2015,0.15,7,364
10830082,"Bohemian, bright, 1BR Upper Haight",7366918,Linda,?,Haight Ashbury,37.77033337,-122.444341,Entire home/apt,500,1,0,,,1,0
6653474,Extra-Large room in heart of Nopa,475974,Ari,?,Haight Ashbury,37.77565845,-122.4406268,Private room,145,1,8,8/13/2015,0.66,2,2
10926639,Large room w/ own bathroom & 2 beds,196333,Erik,?,Haight Ashbury,37.77362984,-122.4465675,Private room,97,2,8,6/29/2016,1.63,1,33
5031525,"Sunny, Spacious NOPA Garden Studio",21789834,Gabi,?,Haight Ashbury,37.77477824,-122.4401095,Entire home/apt,195,3,41,6/28/2016,2.67,1,258
10929774,A perfect Family 4-bdrm House!,43119328,Claude,?,Haight Ashbury,37.76291299,-122.4475635,Entire home/apt,440,7,0,,,1,22
149108,QUIET LUXURY COLE VALLEY PARKING,719538,Margaret,?,Haight Ashbury,37.76100954,-122.4506867,Entire home/apt,300,2,2,7/26/2015,0.09,1,311
5693721,Bright Nopa Top Story 2 bedroom Apt,22381519,Adam,?,Haight Ashbury,37.77425059,-122.4385457,Entire home/apt,280,2,7,1/3/2016,0.98,1,0
10127022,Cozy room in Haight Victorian,975780,Adam,?,Haight Ashbury,37.77038357,-122.4465727,Private room,77,4,1,12/23/2015,0.16,3,0
10229367,Single bedroom in San Francisco,52567458,Clint,?,Haight Ashbury,37.76695078,-122.4511311,Private room,175,4,0,,,1,0
3491540,HackerHome - Haight: bunk 3,43806,Vic,?,Haight Ashbury,37.77136531,-122.4377424,Shared room,55,30,9,5/26/2015,0.38,24,308
8017537,Haight/Cole valley 1 bedroom in SF,27052102,Munique,?,Haight Ashbury,37.76662125,-122.4472938,Private room,89,3,3,6/1/2016,0.3,1,297
3229488,Room in San Francisco View Home,2711732,Keith,?,Haight Ashbury,37.7684836,-122.4393345,Private room,165,1,33,6/27/2016,1.32,5,171
1130628,In The Heart of Haight/Ashbury # 2,4677165,Ashirvadam,?,Haight Ashbury,37.77082395,-122.4490135,Private room,79,1,135,6/24/2016,3.54,6,325
4638571,Cozy Room in the Eclectic Haight,9036130,Izzy,?,Haight Ashbury,37.76961043,-122.4523058,Private room,145,3,0,,,1,0
8783746,"Private Bathroom, Modern Apt, Patio",959569,William,?,Haight Ashbury,37.77486341,-122.4453694,Private room,150,2,0,,,1,299
3458988,HackerHome - Haight: bunk 2,43806,Vic,?,Haight Ashbury,37.77128861,-122.4383097,Shared room,55,30,10,11/5/2015,0.46,24,361
8275971,Alamo Square Studio,25169174,Tony,?,Haight Ashbury,37.7758836,-122.4383844,Entire home/apt,400,3,0,,,1,0
13273159,Beautifully designed/remodeled 3BD 2BA in NOPA,2564937,Christine,?,Haight Ashbury,37.7742115,-122.4489066,Entire home/apt,600,3,0,,,1,11
10455187,"Large, newly-remodeled NOPA studio",2559230,Tjarko,?,Haight Ashbury,37.77352018,-122.4433455,Entire home/apt,250,3,6,6/24/2016,1.68,1,85
10537150,Quiet escape in the Haight,377579,James,?,Haight Ashbury,37.76948795,-122.4436942,Entire home/apt,275,1,11,6/26/2016,2.26,1,325
12814571,Great Haight Ashbury Edwardian Flat,14080773,Ken,?,Haight Ashbury,37.76994374,-122.450378,Entire home/apt,325,5,0,,,1,19
7842860,2 bed/2 bath Great Location,9270849,Neela,?,Haight Ashbury,37.77261345,-122.4472685,Entire home/apt,245,2,0,,,2,335
5550110,Breath-taking views of the city ,5455338,Simona,?,Haight Ashbury,37.7706973,-122.4385916,Private room,120,1,0,,,1,0
10881291,Light Filled Edwardian Flat,43026751,Todd,?,Haight Ashbury,37.76533066,-122.4439406,Entire home/apt,800,1,0,,,1,0
1148625,Private Room in Haight Victorian,6296873,Dennis,?,Haight Ashbury,37.76738649,-122.4446685,Private room,94,2,136,6/24/2016,3.72,1,300
